Level,Time,NodeName,PodNamespace,PodName,PodUID,CgroupID,SchedLat_Total_ms,SchedLat_Avg_ms,SchedLat_P95_ms,SchedLat_P99_ms,SchedLat_Max_ms,SchedLat_Count,SchedLat_Dropped,DState_Total_ms,DState_Count,SoftIRQ_Total_ms,SoftIRQ_Count,CPUUtil,PSI
pod,2026-03-02 11:04:18.771,hostnode,sn,post-storage-mongodb-5bb6bd964c-qrnwb,ed9d9c33-6043-4865-9dbb-2ba38d33338a,4294975457,0.01,0.0050,,,0.0050,1,0,0.00,0,0.00,0,,
pod,2026-03-02 11:04:18.771,hostnode,hn,memcached-rate-6b6b8fc64b-j4mtd,f33aa9b9-0098-4bab-af1f-d9f4580bdcca,4294976087,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 11:04:18.771,hostnode,sn,unique-id-service-c5567d7f5-98pmc,f5e5cd76-4c56-44db-b87d-8c5f1188c68e,4294974785,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 11:04:18.771,hostnode,sn,post-storage-memcached-58c9f787f-454vt,f76ac518-c32c-48c1-a2c6-1dcb17dbcbef,4294975583,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 11:04:18.771,hostnode,monitoring,monitoring-kube-prometheus-operator-fbbbd799-pcnxn,f8959bf3-7786-4a44-945d-eff1c489992a,4295080313,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 11:04:18.771,hostnode,kube-system,coredns-5ddd84546d-vpwgd,fa8a2c26-1ab8-41c4-8317-ac2e6d17ed89,4294974278,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 11:04:18.771,hostnode,sn,user-memcached-8cc658895-bj2wf,fc7fd578-af0d-4bb8-9e88-5d60e166f1d4,4294975541,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
node,2026-03-02 11:04:19.771,hostnode,,,,,508.73,0.0265,0.0150,0.0150,8.3020,19225,1,2.81,34,9.51,698,29.643963,1.016888
pod,2026-03-02 11:04:19.771,hostnode,sa,feedback-inference-4-bcdcc4954-nscth,0150e3da-bbb2-44fc-98a6-deb41f36babb,4294975919,0.10,0.0071,,,0.0110,14,0,0.00,0,0.00,0,0.011257,0.000000
pod,2026-03-02 11:04:19.771,hostnode,sn,user-timeline-redis-666c98cb6-2pp72,02f33c1a-7b7d-4b1d-affc-3d48159aa4e1,4294975499,0.07,0.0075,,,0.0150,10,0,0.00,0,0.00,0,0.006721,0.000000
pod,2026-03-02 11:04:19.771,hostnode,hn,recommendation-6fd4576595-qzp7p,03b217b1-3eb0-43df-82d5-903db410307f,4294976759,0.10,0.0085,,,0.0150,12,0,0.00,0,0.00,0,0.004191,0.000000
pod,2026-03-02 11:04:19.771,hostnode,hn,memcached-profile-66685f65f-6q9lm,05600750-6235-4cea-a85f-768f670b18ee,4294976129,0.03,0.0110,,,0.0140,3,0,0.00,0,0.00,0,0.001163,0.000000
pod,2026-03-02 11:04:19.771,hostnode,default,fuzzy-proof-4,09dd6cba-ae69-4561-9fcc-a8fbc26b78fc,4294976885,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,0.000000,0.000000
pod,2026-03-02 11:04:19.771,hostnode,hn,reservation-7b7956cd6b-w78wd,0bcb305f-c199-4f79-8255-5bfd30011440,4294976591,0.22,0.0107,,,0.0250,21,0,0.00,0,0.06,1,0.011398,0.000000
pod,2026-03-02 11:04:19.771,hostnode,sn,user-mongodb-dcb5fbc96-p8vbh,0f8edb85-6f09-4967-834b-c4e29026ce53,4294975247,1.54,0.0093,,,0.1100,166,0,0.00,0,0.08,2,0.053517,0.000000
