Level,Time,PodUID,CgroupID,SchedLat_Total_ms,SchedLat_Avg_ms,SchedLat_P95_ms,SchedLat_P99_ms,SchedLat_Max_ms,SchedLat_Count,SchedLat_Dropped,DState_Total_ms,DState_Count,SoftIRQ_Total_ms,SoftIRQ_Count,CPUUtil,PSI
pod,2026-03-02 10:40:10.800,11c2484c-ee59-4cf1-b235-e5f0bea30e4b,4294975877,0.12,0.0089,,,0.0200,14,0,0.00,0,0.00,0,0.012970,0.000000
pod,2026-03-02 10:40:10.800,138143ae-daea-4128-92ae-7c247466d7d4,4294975961,5.45,0.0140,,,1.5260,388,0,0.00,0,0.04,5,0.111604,0.000000
pod,2026-03-02 10:40:10.800,13e148d0-b339-49ee-b0ce-b37559cd27c6,4294974447,0.08,0.0079,,,0.0170,10,0,0.00,0,0.00,0,0.008167,0.000000
pod,2026-03-02 10:40:10.800,1514f4ec-f718-4bec-a3e8-bea39d0fedd1,4294976675,0.33,0.0090,,,0.0190,37,0,0.00,0,0.04,1,0.025682,0.000000
pod,2026-03-02 10:40:10.800,1893397c-8b62-4aea-8a5e-d5c5032d91f8,4294989630,0.65,0.0208,,,0.3710,31,0,0.00,0,0.00,0,7.838368,0.000000
pod,2026-03-02 10:40:10.800,1c0ce9e4-e1fb-455a-976e-11005acce9d0,4294974953,6.39,0.0380,,,4.6310,168,0,0.00,0,0.12,6,0.059797,0.000000
pod,2026-03-02 10:40:10.800,1e3eeb12-a307-41de-92ee-7ec930767d58,4294976381,0.02,0.0057,,,0.0070,3,0,0.00,0,0.00,0,0.000602,0.000000
pod,2026-03-02 10:40:10.800,247149cd-61e5-4048-a7ef-75de96589398,4294974080,1.70,0.0849,,,0.9160,20,0,0.00,0,0.04,2,0.009991,0.000000
pod,2026-03-02 10:40:10.800,24987f22-ac3e-4037-b7e4-674696f71bfe,4294976843,6.04,0.1778,,,4.0580,34,0,0.00,0,0.00,0,0.018263,0.000000
pod,2026-03-02 10:40:10.800,2d8ff9cc-73b2-47da-b0da-657ba9857d06,4294975289,0.13,0.0097,,,0.0160,13,0,0.00,0,0.00,0,0.003245,0.000000
pod,2026-03-02 10:40:10.800,2e8cef70-b460-406c-822d-006e7c0c71a4,4294976171,0.08,0.0154,,,0.0490,5,0,0.00,0,0.00,0,0.000972,0.000000
pod,2026-03-02 10:40:10.800,309bc67f-0f97-4902-8e57-5f369481d878,4295080229,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,0.000000,0.000000
pod,2026-03-02 10:40:10.800,4615d84f-8e28-403b-af02-b8c6c579361d,4294976003,0.09,0.0072,,,0.0130,12,0,0.00,0,0.00,0,0.001165,0.000000
pod,2026-03-02 10:40:10.800,5557386c-9898-4425-8979-6492e67868ee,4294976549,0.30,0.0090,,,0.0300,33,0,0.00,0,0.00,0,0.023926,0.000000
pod,2026-03-02 10:40:10.800,56f4636a-d485-4728-9bb6-0e7977b14a71,4294974995,0.07,0.0150,,,0.0320,5,0,0.00,0,0.07,2,0.004128,0.000000
pod,2026-03-02 10:40:10.800,58bdb2da-a465-4653-b30a-5f823bd79594,4295063948,1.09,0.0117,,,0.3570,93,0,0.00,0,0.03,1,0.022440,0.000000
pod,2026-03-02 10:40:10.800,5da702aa-5da1-48a1-a861-a28a962145a8,4294975121,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,0.000000,0.000000
pod,2026-03-02 10:40:10.800,63ea3062-c44d-4786-b84c-d210df45b2f8,4294975793,0.09,0.0065,,,0.0120,14,0,0.00,0,0.00,0,0.011774,0.000000
pod,2026-03-02 10:40:10.800,66c8e931-7fa3-448a-8822-0b2db155e788,4294976633,0.32,0.0098,,,0.0220,33,0,0.00,0,0.00,0,0.025042,0.000000
pod,2026-03-02 10:40:10.800,6a98d5b2-6ae0-4348-ba84-d32a8010d14b,4294975625,0.12,0.0079,,,0.0250,15,0,0.00,0,0.00,0,0.010883,0.000000
pod,2026-03-02 10:40:10.800,6be52f8a-5cf7-4c4d-a9cf-b851c52694e7,4294975077,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,0.000000,0.000000
pod,2026-03-02 10:40:10.800,6d187294-14f3-4f11-b66b-6f178abedac4,4294974743,0.05,0.0070,,,0.0120,7,0,0.00,0,0.00,0,0.001341,0.000000
pod,2026-03-02 10:40:10.800,70957292-81e5-4ffe-b8ad-b44e4de4b326,4295080817,0.57,0.0080,,,0.0340,72,0,0.00,0,0.13,4,0.047868,0.000000
pod,2026-03-02 10:40:10.800,76c3a8df-aede-4a5f-b8bd-e74ce509a7e6,4294975331,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,0.000000,0.000000
pod,2026-03-02 10:40:10.800,79688f0b-7ab6-4f35-8438-aec8c8300d03,4294974827,0.08,0.0084,,,0.0140,10,0,0.00,0,0.00,0,0.008585,0.000000
pod,2026-03-02 10:40:10.800,7aa819af-f314-4532-a0f4-c5e2a11fc6ef,4294975835,0.10,0.0074,,,0.0150,14,0,0.00,0,0.00,0,0.011316,0.000000
pod,2026-03-02 10:40:10.800,7bda2edc-62de-4b78-aa7c-8a99331d9370,4295080355,2.64,0.0200,,,1.3430,132,0,0.00,0,0.00,0,0.047407,0.000000
pod,2026-03-02 10:40:10.800,7d6b10a5-b07a-4b60-8c9d-7d0462b491f0,4294975709,0.10,0.0068,,,0.0090,14,0,0.00,0,0.00,0,0.010697,0.000000
pod,2026-03-02 10:40:10.800,894845d8-cc58-483b-bbf2-260807dd8e81,4294974127,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,0.000000,0.000000
pod,2026-03-02 10:40:10.800,898a0bea-057b-41e9-bedf-78eae2237e12,4294975667,0.12,0.0085,,,0.0110,14,0,0.00,0,0.00,0,0.016194,0.000000
pod,2026-03-02 10:40:10.800,8adacebd-6468-43f9-bad1-e7258d23d25b,4294977053,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,0.000000,0.000000
pod,2026-03-02 10:40:10.800,8c3bade4-b9e1-44f3-bdaa-e8f9a77e60b6,4294976339,0.34,0.0103,,,0.0680,33,0,0.00,0,0.00,0,0.025511,0.000000
pod,2026-03-02 10:40:10.800,8c63a64e-3582-4fa5-a1a2-9d52222005c7,4294976213,2.13,0.0645,,,1.7840,33,0,0.00,0,0.00,0,0.021567,0.000000
pod,2026-03-02 10:40:10.800,8e0cbdb2-8b37-43d7-bd2e-e7bc88f71486,4294974340,1.24,0.0111,,,0.3360,112,0,0.00,0,0.02,1,0.022604,0.000000
pod,2026-03-02 10:40:10.800,95708664-be88-4490-ba1e-7092ec6ba570,4294977011,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,0.000000,0.000000
pod,2026-03-02 10:40:10.800,957aa029-5b70-4fcf-bf3e-194e127920be,4294974221,0.22,0.0066,,,0.0170,33,0,0.00,0,0.09,6,0.010804,0.000000
pod,2026-03-02 10:40:10.800,970ae5df-45da-47b3-9c77-f2aaf6297dd0,4294975415,0.04,0.0097,,,0.0140,4,0,0.00,0,0.10,2,0.003671,0.000000
pod,2026-03-02 10:40:10.800,9bb793d0-cf0f-4e92-ab39-a1f6b2a25f81,4294976927,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,0.000000,0.000000
pod,2026-03-02 10:40:10.800,a152d98d-6f60-4ea7-a931-fad144116366,4294975373,3.04,0.0186,,,1.7540,163,0,0.00,0,0.08,2,0.063375,0.000000
pod,2026-03-02 10:40:10.800,a1b75670-727f-4e89-92df-b40d967893d6,4294976423,0.04,0.0080,,,0.0140,5,0,0.00,0,0.00,0,0.001695,0.000000
