Time,Social_P99_ms,Hotel_P99_ms,Feedback_P99_ms
2026-02-17 14:05:39,41.2604,238.9059,3779.0026
2026-02-17 14:05:43,21.6372,126.9296,6372.8679
2026-02-17 14:05:49,27.8625,101.9753,4544.9853
2026-02-17 14:05:54,24.1741,43.0875,7197.2352
2026-02-17 14:06:01,23.2355,73.5101,6245.2683
2026-02-17 14:06:07,24.8226,290.9123,4779.1720
2026-02-17 14:06:12,25.0998,139.7778,6755.0115
2026-02-17 14:06:19,29.3983,110.3198,6146.1997
2026-02-17 14:06:25,16.8025,36.6457,5171.1831
2026-02-17 14:06:30,13.9322,94.0543,4293.2323
2026-02-17 14:06:34,32.8101,124.8288,4486.7230
2026-02-17 14:06:39,25.6121,259.6566,5260.4567
2026-02-17 14:06:44,24.5323,136.5716,5527.6910
2026-02-17 14:06:50,31.6292,121.4189,4292.8550
2026-02-17 14:06:54,23.6526,342.0703,6102.3237
2026-02-17 14:07:00,23.9970,130.8303,4614.7003
2026-02-17 14:07:05,22.1147,45.1823,6188.5113
2026-02-17 14:07:11,226.0689,78.2113,6199.8019
2026-02-17 14:07:17,12.3988,251.5453,6406.8376
2026-02-17 14:07:24,27.8453,237.9345,4947.6718
2026-02-17 14:07:29,22.0663,134.2619,6730.9430
2026-02-17 14:07:36,27.8419,227.6589,5621.4366
2026-02-17 14:07:41,17.0908,132.4436,5074.8009
2026-02-17 14:07:46,20.7024,151.5999,5974.2316
2026-02-17 14:07:52,20.8215,40.8461,3747.7237
2026-02-17 14:07:56,24.2895,135.6166,8506.6442
2026-02-17 14:08:05,20.9794,246.7207,5933.6850
2026-02-17 14:08:11,16.4889,118.7081,6273.9339
2026-02-17 14:08:17,16.0360,156.3189,5375.3209
2026-02-17 14:08:22,24.0191,57.4409,7716.9317
2026-02-17 14:08:30,24.6353,49.0616,4420.8649
2026-02-17 14:08:34,19.9391,89.1363,4074.2433
2026-02-17 14:08:39,23.6113,314.5172,4033.3267
2026-02-17 14:08:43,23.5675,74.8530,4674.7260
2026-02-17 14:08:47,222.4575,83.6865,4597.3868
2026-02-17 14:08:52,23.1445,111.2983,4971.1636
2026-02-17 14:08:57,21.6738,436.2205,6322.7627
2026-02-17 14:09:03,27.1143,191.2478,338.8131
2026-02-17 14:09:06,22.9058,156.9672,5162.4698
2026-02-17 14:09:11,229.1187,241.4711,5288.1429
2026-02-17 14:09:17,432.5585,81.6236,7190.0886
2026-02-17 14:09:24,21.0525,167.9561,4615.6747
2026-02-17 14:09:29,14.2971,260.4485,5857.9045
2026-02-17 14:09:35,12.2714,127.6929,7116.2958
2026-02-17 14:09:42,27.9779,170.6267,6434.7410
2026-02-17 14:09:48,20.0493,292.7601,5176.9429
2026-02-17 14:09:53,16.1160,129.1928,5953.3275
2026-02-17 14:09:59,230.0026,243.0671,5094.1905
2026-02-17 14:10:04,20.3850,475.0041,4514.5629
2026-02-17 14:10:09,22.8183,239.5077,3322.4353
2026-02-17 14:10:19,634.4324,341.8183,2273.2984
2026-02-17 14:10:29,1189.8403,320.3627,
2026-02-17 14:10:39,1295.1598,260.8661,
2026-02-17 14:10:49,1070.0948,230.8733,
2026-02-17 14:10:59,119.3411,269.2520,3134.8621
2026-02-17 14:11:09,1310.2988,579.6110,2814.2556
2026-02-17 14:11:19,2285.3732,346.7905,
